align,choice,time,coherence,firing_rate
dots,T1,-80,0.0,33.1899674031
dots,T1,-80,3.2,31.6917255152
dots,T1,-80,6.4,34.2798399644
dots,T1,-80,12.8,32.6318742985
dots,T1,-80,25.6,35.0604874577
dots,T1,-80,51.2,34.9875710227
dots,T1,-60,0.0,32.8685258964
dots,T1,-60,3.2,35.119047619
dots,T1,-60,6.4,34.8410757946
dots,T1,-60,12.8,35.6481481481
dots,T1,-60,25.6,33.6105675147
dots,T1,-60,51.2,34.27734375
dots,T1,-40,0.0,34.561752988
dots,T1,-40,3.2,34.8958333333
dots,T1,-40,6.4,34.9633251834
dots,T1,-40,12.8,36.4711934156
dots,T1,-40,25.6,32.5342465753
dots,T1,-40,51.2,35.009765625
dots,T1,-20,0.0,35.3585657371
dots,T1,-20,3.2,31.1011904762
dots,T1,-20,6.4,35.5134474328
dots,T1,-20,12.8,34.5164609053
dots,T1,-20,25.6,34.7847358121
dots,T1,-20,51.2,36.669921875
dots,T1,0,0.0,36.2549800797
dots,T1,0,3.2,32.3660714286
dots,T1,0,6.4,36.9193154034
dots,T1,0,12.8,35.6995884774
dots,T1,0,25.6,35.8610567515
dots,T1,0,51.2,37.060546875
dots,T1,20,0.0,38.4960159363
dots,T1,20,3.2,33.4821428571
dots,T1,20,6.4,36.1858190709
dots,T1,20,12.8,36.0082304527
dots,T1,20,25.6,34.8825831703
dots,T1,20,51.2,35.888671875
dots,T1,40,0.0,36.2051792829
dots,T1,40,3.2,34.375
dots,T1,40,6.4,36.7970660147
dots,T1,40,12.8,35.3909465021
dots,T1,40,25.6,36.9863013699
dots,T1,40,51.2,36.279296875
dots,T1,60,0.0,34.7609561753
dots,T1,60,3.2,34.6726190476
dots,T1,60,6.4,38.2029339853
dots,T1,60,12.8,35.6481481481
dots,T1,60,25.6,38.0136986301
dots,T1,60,51.2,37.79296875
dots,T1,80,0.0,36.5537848606
dots,T1,80,3.2,32.3660714286
dots,T1,80,6.4,35.5745721271
dots,T1,80,12.8,33.7448559671
dots,T1,80,25.6,35.5675146771
dots,T1,80,51.2,37.353515625
dots,T1,100,0.0,33.515936255
dots,T1,100,3.2,31.5476190476
dots,T1,100,6.4,33.0073349633
dots,T1,100,12.8,32.2666032773
dots,T1,100,25.6,32.28962818
dots,T1,100,51.2,35.25390625
dots,T1,120,0.0,31.6733067729
dots,T1,120,3.2,30.8779761905
dots,T1,120,6.4,31.9682151589
dots,T1,120,12.8,32.7986405205
dots,T1,120,25.6,29.6966731898
dots,T1,120,51.2,33.349609375
dots,T1,140,0.0,32.1215139442
dots,T1,140,3.2,30.0970758473
dots,T1,140,6.4,31.173594132
dots,T1,140,12.8,31.1927760396
dots,T1,140,25.6,29.3052837573
dots,T1,140,51.2,31.3593367034
dots,T1,160,0.0,34.4621513944
dots,T1,160,3.2,33.0191183554
dots,T1,160,6.4,33.6797066015
dots,T1,160,12.8,31.9922938189
dots,T1,160,25.6,33.0684130789
dots,T1,160,51.2,31.4144049073
dots,T1,180,0.0,37.5857760456
dots,T1,180,3.2,39.206226297
dots,T1,180,6.4,38.4799298148
dots,T1,180,12.8,38.2790725256
dots,T1,180,25.6,38.0283572714
dots,T1,180,51.2,35.2981969562
dots,T1,200,0.0,41.3876308811
dots,T1,200,3.2,43.0009045681
dots,T1,200,6.4,42.8315775134
dots,T1,200,12.8,44.1881669593
dots,T1,200,25.6,43.2053130261
dots,T1,200,51.2,44.0021276055
dots,T1,220,0.0,45.2145741795
dots,T1,220,3.2,44.0531572195
dots,T1,220,6.4,44.5503067614
dots,T1,220,12.8,46.0072153238
dots,T1,220,25.6,46.6656178604
dots,T1,220,51.2,49.4455590075
dots,T1,240,0.0,44.426667193
dots,T1,240,3.2,45.5579976408
dots,T1,240,6.4,45.3353150482
dots,T1,240,12.8,45.2545114631
dots,T1,240,25.6,48.057998072
dots,T1,240,51.2,52.8138549965
dots,T1,260,0.0,43.5176761377
dots,T1,260,3.2,46.4806723604
dots,T1,260,6.4,45.975678826
dots,T1,260,12.8,45.978011874
dots,T1,260,25.6,51.49830443
dots,T1,260,51.2,56.0062634769
dots,T1,280,0.0,45.183845031
dots,T1,280,3.2,46.7680543787
dots,T1,280,6.4,47.6079465912
dots,T1,280,12.8,49.4179484906
dots,T1,280,25.6,53.4063507726
dots,T1,280,51.2,56.5709270698
dots,T1,300,0.0,44.5806310958
dots,T1,300,3.2,47.7403311288
dots,T1,300,6.4,47.9453145595
dots,T1,300,12.8,50.884901111
dots,T1,300,25.6,53.9921770122
dots,T1,320,0.0,42.1883499648
dots,T1,320,3.2,46.1091773662
dots,T1,320,6.4,46.9297722083
dots,T1,320,12.8,50.5475711692
dots,T1,320,25.6,54.2706099715
dots,T1,340,0.0,41.7881832087
dots,T1,340,3.2,45.6333595786
dots,T1,340,6.4,47.6741978356
dots,T1,340,12.8,49.8453330566
dots,T1,340,25.6,55.4833048133
dots,T1,360,0.0,43.8889398626
dots,T1,360,3.2,47.8811790178
dots,T1,360,6.4,50.4307958419
dots,T1,360,12.8,50.5637453923
dots,T1,360,25.6,57.6132002761
dots,T1,380,0.0,46.7939865745
dots,T1,380,3.2,46.0362955566
dots,T1,380,6.4,50.2350060629
dots,T1,380,12.8,51.839563305
dots,T1,380,25.6,57.9308464384
dots,T1,400,0.0,45.4823942827
dots,T1,400,3.2,45.3563633893
dots,T1,400,6.4,48.816525836
dots,T1,400,12.8,52.3134685064
dots,T1,400,25.6,58.2719153733
dots,T1,420,0.0,45.2294029647
dots,T1,420,3.2,47.370806321
dots,T1,420,6.4,51.0426760675
dots,T1,420,12.8,54.3442280151
dots,T1,420,25.6,58.7792250482
dots,T1,440,0.0,47.5705138296
dots,T1,440,3.2,47.8962913334
dots,T1,440,6.4,52.8451380575
dots,T1,440,12.8,56.5905120229
dots,T1,460,0.0,47.9965125796
dots,T1,460,3.2,49.7589895528
dots,T1,460,6.4,54.6071568221
dots,T1,460,12.8,57.6417931949
dots,T1,480,0.0,47.4221784572
dots,T1,480,3.2,50.2088029789
dots,T1,480,6.4,56.3631120383
dots,T1,480,12.8,57.336239303
dots,T1,500,0.0,48.4253715445
dots,T1,500,3.2,49.8924509929
dots,T1,500,6.4,56.3159583107
dots,T1,500,12.8,57.8834341936
dots,T1,520,0.0,49.8483600507
dots,T1,520,3.2,49.395357585
dots,T1,520,6.4,55.6257450533
dots,T1,520,12.8,56.7031475447
dots,T1,540,0.0,51.4958439254
dots,T1,540,3.2,48.066627973
dots,T1,540,6.4,52.6625406001
dots,T1,540,12.8,56.5965566665
dots,T1,560,0.0,53.8839724539
dots,T1,560,3.2,48.6514774419
dots,T1,560,6.4,51.2677935943
dots,T1,560,12.8,57.4458518599
dots,T1,580,0.0,53.0430826028
dots,T1,580,3.2,50.928916973
dots,T1,580,6.4,55.3879064133
dots,T1,600,0.0,52.1063146794
dots,T1,600,3.2,50.4609948656
dots,T1,600,6.4,58.3763412771
dots,T1,620,0.0,51.9722589882
dots,T1,620,3.2,49.6072463942
dots,T1,620,6.4,58.4313296726
dots,T1,640,0.0,51.4946850007
dots,T1,640,3.2,53.7183234006
dots,T1,660,0.0,51.3666266822
dots,T1,660,3.2,56.9613202683
dots,T1,680,0.0,52.6740476122
dots,T1,680,3.2,57.0799478842
dots,T1,700,0.0,52.6806817764
dots,T1,720,0.0,51.299586053
dots,T2,-80,0.0,34.9701072622
dots,T2,-80,3.2,36.7858148044
dots,T2,-80,6.4,34.4785059901
dots,T2,-80,12.8,34.9914236707
dots,T2,-80,25.6,32.2415329768
dots,T2,-80,51.2,32.6330162086
dots,T2,-60,0.0,33.8491295938
dots,T2,-60,3.2,35.6811145511
