Date,Price
1914-12-01,55.0
1915-01-01,56.55
1915-02-01,56.0
1915-03-01,58.3
1915-04-01,66.45
1915-05-01,65.95
1915-06-01,68.4
1915-07-01,71.85
1915-08-01,79.25
1915-09-01,85.5
1915-10-01,92.35
1915-11-01,94.35
1915-12-01,97.0
1916-01-01,94.7
1916-02-01,93.55
1916-03-01,93.3
1916-04-01,89.75
1916-05-01,90.15
1916-06-01,90.65
1916-07-01,88.45
1916-08-01,91.0
1916-09-01,97.45
1916-10-01,102.1
1916-11-01,107.9
1916-12-01,98.5
1917-01-01,97.15
1917-02-01,90.95
1917-03-01,94.65
1917-04-01,93.9
1917-05-01,93.35
1917-06-01,96.95
1917-07-01,92.9
1917-08-01,88.65
1917-09-01,83.6
1917-10-01,79.05
1917-11-01,71.4
1917-12-01,70.2
1918-01-01,76.6
1918-02-01,79.95
1918-03-01,78.05
1918-04-01,77.65
1918-05-01,81.05
1918-06-01,80.45
1918-07-01,81.85
1918-08-01,81.95
1918-09-01,82.5
1918-10-01,86.25
1918-11-01,84.0
1918-12-01,82.5
1919-01-01,81.65
1919-02-01,82.45
1919-03-01,86.55
1919-04-01,91.15
1919-05-01,99.4
1919-06-01,103.6
1919-07-01,109.7
1919-08-01,103.25
1919-09-01,108.2
1919-10-01,113.9
1919-11-01,111.6
1919-12-01,105.8
1920-01-01,105.9
1920-02-01,96.5
1920-03-01,97.95
1920-04-01,99.45
1920-05-01,91.1
1920-06-01,91.7
1920-07-01,90.7
1920-08-01,85.25
1920-09-01,86.5
1920-10-01,84.85
1920-11-01,79.3
1920-12-01,72.2
1921-01-01,74.75
1921-02-01,75.7
1921-03-01,75.05
1921-04-01,77.0
1921-05-01,76.7
1921-06-01,69.2
1921-07-01,68.6
1921-08-01,66.95
1921-09-01,69.35
1921-10-01,71.7
1921-11-01,75.7
1921-12-01,79.8
1922-01-01,80.6
1922-02-01,83.75
1922-03-01,87.2
1922-04-01,91.3
1922-05-01,93.95
1922-06-01,93.55
1922-07-01,95.0
1922-08-01,98.5
1922-09-01,99.2
1922-10-01,99.75
1922-11-01,95.75
1922-12-01,97.0
1923-01-01,98.2
1923-02-01,100.8
1923-03-01,103.9
1923-04-01,100.55
1923-05-01,95.5
1923-06-01,92.55
1923-07-01,89.3
1923-08-01,90.45
1923-09-01,90.75
1923-10-01,88.15
1923-11-01,90.65
1923-12-01,94.1
1924-01-01,97.8
1924-02-01,98.8
1924-03-01,95.6
1924-04-01,91.95
1924-05-01,90.4
1924-06-01,93.3
1924-07-01,99.25
1924-08-01,103.55
1924-09-01,102.9
1924-10-01,101.65
1924-11-01,107.65
1924-12-01,115.45
1925-01-01,121.55
1925-02-01,120.45
1925-03-01,120.35
1925-04-01,119.7
1925-05-01,125.55
1925-06-01,128.9
1925-07-01,133.9
1925-08-01,138.85
1925-09-01,142.45
1925-10-01,150.65
1925-11-01,153.8
1925-12-01,154.55
1926-01-01,156.1
1926-02-01,158.4
1926-03-01,144.25
1926-04-01,140.55
1926-05-01,140.3
1926-06-01,148.15
1926-07-01,156.8
1926-08-01,163.5
1926-09-01,161.2
1926-10-01,152.7
1926-11-01,153.95
1926-12-01,159.3
1927-01-01,154.65
1927-02-01,158.15
1927-03-01,160.1
1927-04-01,164.05
1927-05-01,168.8
1927-06-01,168.85
1927-07-01,175.35
1927-08-01,183.85
1927-09-01,195.3
1927-10-01,189.8
1927-11-01,189.95
1927-12-01,198.0
1928-01-01,198.95
1928-02-01,195.35
1928-03-01,204.5
1928-04-01,212.45
1928-05-01,216.3
1928-06-01,211.5
1928-07-01,210.85
1928-08-01,227.25
1928-09-01,239.3
1928-10-01,247.45
1928-11-01,274.9
1928-12-01,278.65
1929-01-01,307.25
1929-02-01,309.0
1929-03-01,308.85
1929-04-01,309.2
1929-05-01,310.25
1929-06-01,316.45
1929-07-01,341.45
1929-08-01,359.15
1929-09-01,362.35
1929-10-01,291.5
1929-11-01,228.2
1929-12-01,247.2
1930-01-01,255.65
1930-02-01,267.4
1930-03-01,278.25
1930-04-01,285.5
1930-05-01,266.7
1930-06-01,243.15
1930-07-01,229.8
1930-08-01,228.8
1930-09-01,225.0
1930-10-01,198.75
1930-11-01,180.95
1930-12-01,172.15
1931-01-01,167.25
1931-02-01,181.55
1931-03-01,180.05
1931-04-01,158.0
1931-05-01,141.45
1931-06-01,139.3
1931-07-01,145.35
1931-08-01,139.8
1931-09-01,118.35
1931-10-01,98.1
1931-11-01,103.4
1931-12-01,82.8
1932-01-01,78.55
1932-02-01,78.9
1932-03-01,81.05
1932-04-01,64.05
