timepoint,ROI,subject,BOLD signal
0.0,IPS,0,0.5134331027255622
0.0,IPS,1,-0.414368046075696
0.0,IPS,2,0.21469532671963512
0.0,IPS,3,0.8148087458868558
0.0,IPS,4,-0.8949922301721369
0.0,IPS,5,-0.07370934901307968
0.0,IPS,6,3.542734475413466
0.0,IPS,7,0.08016907575441545
0.0,IPS,8,1.5470826945325733
0.0,IPS,9,2.827153000390555
0.0,IPS,10,2.611358359173347
0.0,IPS,11,-0.3131321350194033
0.0,IPS,12,3.7734209556847382
0.0,IPS,13,4.8299147403228195
0.0,IPS,14,2.8913395758375215
0.0,IPS,15,-0.736697602085396
0.0,IPS,16,3.316986139515283
0.0,IPS,17,3.7714255305187194
0.0,IPS,18,1.308108715442583
0.0,IPS,19,-0.9051716377771052
0.0,AG,0,1.0483690653634063
0.0,AG,1,0.980156108994631
0.0,AG,2,2.817243817877357
0.0,AG,3,0.7371128874092425
0.0,AG,4,2.203094497215115
0.0,AG,5,0.41213138988141157
0.0,AG,6,1.8992587282397375
0.0,AG,7,0.9054847966563981
0.0,AG,8,-0.3550295028293755
0.0,AG,9,-1.695758671341259
0.0,AG,10,-1.084440967679713
0.0,AG,11,0.9358004718293061
0.0,AG,12,0.08561520822146083
0.0,AG,13,-1.0745526432251271
0.0,AG,14,1.4288169781130207
0.0,AG,15,0.5445830767520106
0.0,AG,16,2.72219977985527
0.0,AG,17,-0.47097787198527186
0.0,AG,18,0.915208992353353
0.0,AG,19,1.3916790162966497
0.0,V1,0,1.8202012195893098
0.0,V1,1,0.25719899584859235
0.0,V1,2,1.9460455848654217
0.0,V1,3,3.507984359261221
0.0,V1,4,2.4864416742084354
0.0,V1,5,-1.534044638177171
0.0,V1,6,0.8569754726729291
0.0,V1,7,-1.0486713046689329
0.0,V1,8,2.4847724625621384
0.0,V1,9,-0.6736054789265489
0.0,V1,10,-0.3408223994977652
0.0,V1,11,2.908160595017196
0.0,V1,12,2.992470041542188
0.0,V1,13,-0.324952711003208
0.0,V1,14,2.36043984846849
0.0,V1,15,0.6992003934300172
0.0,V1,16,1.4580053879916495
0.0,V1,17,1.993810664572654
0.0,V1,18,1.2013641583721437
0.0,V1,19,0.5823770652720677
0.10101010101010101,IPS,0,0.4673192417779404
0.10101010101010101,IPS,1,-0.46048190702331765
0.10101010101010101,IPS,2,0.16858146577201333
0.10101010101010101,IPS,3,0.768694884939234
0.10101010101010101,IPS,4,-0.9411060911197586
0.10101010101010101,IPS,5,-0.11982320996070134
0.10101010101010101,IPS,6,3.496620614465844
0.10101010101010101,IPS,7,0.0340552148067938
0.10101010101010101,IPS,8,1.5009688335849514
0.10101010101010101,IPS,9,2.7810391394429335
0.10101010101010101,IPS,10,2.565244498225725
0.10101010101010101,IPS,11,-0.35924599596702494
0.10101010101010101,IPS,12,3.7273070947371165
0.10101010101010101,IPS,13,4.783800879375198
0.10101010101010101,IPS,14,2.8452257148898994
0.10101010101010101,IPS,15,-0.7828114630330176
0.10101010101010101,IPS,16,3.270872278567661
0.10101010101010101,IPS,17,3.725311669571098
0.10101010101010101,IPS,18,1.261994854494961
0.10101010101010101,IPS,19,-0.9512854987247268
0.10101010101010101,AG,0,1.0484082738293345
0.10101010101010101,AG,1,0.9801953174605593
0.10101010101010101,AG,2,2.817283026343285
0.10101010101010101,AG,3,0.7371520958751709
0.10101010101010101,AG,4,2.2031337056810436
0.10101010101010101,AG,5,0.4121705983473398
0.10101010101010101,AG,6,1.899297936705666
0.10101010101010101,AG,7,0.9055240051223266
0.10101010101010101,AG,8,-0.35499029436344726
0.10101010101010101,AG,9,-1.6957194628753305
0.10101010101010101,AG,10,-1.0844017592137847
0.10101010101010101,AG,11,0.9358396802952346
0.10101010101010101,AG,12,0.08565441668738918
0.10101010101010101,AG,13,-1.0745134347591987
0.10101010101010101,AG,14,1.4288561865789486
0.10101010101010101,AG,15,0.5446222852179389
0.10101010101010101,AG,16,2.722238988321198
0.10101010101010101,AG,17,-0.47093866351934355
0.10101010101010101,AG,18,0.9152482008192814
0.10101010101010101,AG,19,1.3917182247625781
0.10101010101010101,V1,0,1.8202012062544575
0.10101010101010101,V1,1,0.25719898251374024
0.10101010101010101,V1,2,1.9460455715305693
0.10101010101010101,V1,3,3.5079843459263693
0.10101010101010101,V1,4,2.4864416608735835
0.10101010101010101,V1,5,-1.5340446515120232
0.10101010101010101,V1,6,0.8569754593380768
0.10101010101010101,V1,7,-1.0486713180037848
0.10101010101010101,V1,8,2.4847724492272856
0.10101010101010101,V1,9,-0.673605492261401
0.10101010101010101,V1,10,-0.3408224128326173
0.10101010101010101,V1,11,2.908160581682344
0.10101010101010101,V1,12,2.992470028207336
0.10101010101010101,V1,13,-0.3249527243380601
0.10101010101010101,V1,14,2.360439835133638
0.10101010101010101,V1,15,0.6992003800951649
0.10101010101010101,V1,16,1.4580053746567971
0.10101010101010101,V1,17,1.993810651237802
0.10101010101010101,V1,18,1.2013641450372914
0.10101010101010101,V1,19,0.5823770519372153
0.20202020202020202,IPS,0,0.3466994181748567
0.20202020202020202,IPS,1,-0.5811017306264012
0.20202020202020202,IPS,2,0.047961642168929675
0.20202020202020202,IPS,3,0.6480750613361503
0.20202020202020202,IPS,4,-1.0617259147228422
0.20202020202020202,IPS,5,-0.240443033563785
0.20202020202020202,IPS,6,3.376000790862761
0.20202020202020202,IPS,7,-0.08656460879628985
0.20202020202020202,IPS,8,1.3803490099818676
0.20202020202020202,IPS,9,2.6604193158398504
0.20202020202020202,IPS,10,2.4446246746226414
0.20202020202020202,IPS,11,-0.4798658195701086
0.20202020202020202,IPS,12,3.6066872711340325
0.20202020202020202,IPS,13,4.663181055772113
0.20202020202020202,IPS,14,2.724605891286816
0.20202020202020202,IPS,15,-0.9034312866361014
0.20202020202020202,IPS,16,3.150252454964577
0.20202020202020202,IPS,17,3.6046918459680146
0.20202020202020202,IPS,18,1.1413750308918775
0.20202020202020202,IPS,19,-1.0719053223278106
0.20202020202020202,AG,0,1.0489361288758055
0.20202020202020202,AG,1,0.98072317250703
0.20202020202020202,AG,2,2.8178108813897564
0.20202020202020202,AG,3,0.7376799509216416
0.20202020202020202,AG,4,2.203661560727514
0.20202020202020202,AG,5,0.4126984533938106
0.20202020202020202,AG,6,1.8998257917521366
0.20202020202020202,AG,7,0.9060518601687972
0.20202020202020202,AG,8,-0.3544624393169764
0.20202020202020202,AG,9,-1.6951916078288598
0.20202020202020202,AG,10,-1.083873904167314
0.20202020202020202,AG,11,0.9363675353417054
0.20202020202020202,AG,12,0.08618227173385992
0.20202020202020202,AG,13,-1.073985579712728
0.20202020202020202,AG,14,1.4293840416254193
0.20202020202020202,AG,15,0.5451501402644097
0.20202020202020202,AG,16,2.7227668433676695
0.20202020202020202,AG,17,-0.47041080847287264
