Year,Country,Spending_USD,Life_Expectancy
1970,AUT,173.391,70.0
1970,BEL,149.573,71.0
1970,CHE,326.524,73.1
1970,DEU,252.311,70.6
1970,ESP,82.955,72.0
1970,FIN,151.817,70.8
1970,FRA,192.143,72.2
1970,GBR,123.993,71.9
1970,IRL,115.833,71.2
1970,ISL,166.011,73.9
1970,JPN,150.437,72.0
1970,KOR,19.004,62.3
1970,NOR,154.229,74.3
1970,NZL,215.232,71.5
1970,PRT,44.603,66.7
1970,SWE,272.052,74.8
1970,USA,326.961,70.9
1971,AUS,212.545,71.6
1971,AUT,189.271,70.2
1971,BEL,164.899,71.1
1971,CAN,313.391,72.8
1971,CHE,376.997,73.3
1971,DEU,298.251,70.8
1971,DNK,338.013,73.3
1971,FIN,172.952,70.1
1971,GBR,134.172,71.9
1971,ISL,221.847,73.6
1971,JPN,163.854,72.9
1971,KOR,18.093,62.7
1971,NOR,179.495,74.4
1971,NZL,227.155,71.6
1971,PRT,54.359,66.4
1971,SWE,306.49,74.7
1971,USA,357.988,71.2
1972,AUS,226.524,72.0
1972,AUT,209.236,70.6
1972,BEL,186.303,71.5
1972,CHE,405.847,73.8
1972,DEU,337.364,71.0
1972,DNK,369.393,73.4
1972,FIN,194.903,70.7
1972,ISL,243.389,74.5
1972,JPN,185.39,73.2
1972,KOR,18.275,63.1
1972,NLD,308.727,73.8
1972,NOR,208.148,74.6
1972,NZL,252.413,71.7
1972,PRT,77.37,68.4
1972,SWE,331.467,74.8
1972,USA,397.097,71.2
1973,AUS,251.085,72.0
1973,AUT,237.846,71.1
1973,BEL,224.438,71.7
1973,CHE,440.605,74.1
1973,DEU,384.541,71.3
1973,DNK,397.066,73.6
1973,FIN,215.228,71.2
1973,ISL,257.902,74.5
1973,JPN,205.778,73.4
1973,KOR,18.824,63.5
1973,NLD,341.928,74.2
1973,NOR,237.436,74.7
1973,NZL,296.855,71.8
1973,PRT,97.447,67.5
1973,SWE,359.492,75.0
1973,USA,439.302,71.4
1974,AUS,306.927,71.9
