# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb 15 11:18:19 2014
#
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period (val)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN st_dist:        Distance (val)
# COLUMN pl_disc:        Year of Discovery
#
rowid,pl_discmethod,pl_pnum,pl_orbper,pl_msinij,st_dist,pl_disc
1,Radial Velocity,1,269.30000000,7.10000,77.40,2006
2,Radial Velocity,1,874.77400000,2.21000,56.95,2008
3,Radial Velocity,1,763.00000000,2.60000,19.84,2011
4,Radial Velocity,1,326.03000000,19.40000,110.62,2007
5,Radial Velocity,1,516.22000000,10.50000,119.47,2009
6,Radial Velocity,1,185.84000000,4.80000,76.39,2008
7,Radial Velocity,1,1773.40000000,4.64000,18.15,2002
8,Radial Velocity,1,798.50000000,,21.41,1996
9,Radial Velocity,1,993.30000000,10.30000,73.10,2008
10,Radial Velocity,2,452.80000000,1.99000,74.79,2010
11,Radial Velocity,2,883.00000000,0.86000,74.79,2010
12,Radial Velocity,1,335.10000000,9.88000,39.43,2009
13,Radial Velocity,1,479.10000000,3.88000,97.28,2008
14,Radial Velocity,3,1078.00000000,2.53000,14.08,1996
15,Radial Velocity,3,2391.00000000,0.54000,14.08,2001
16,Radial Velocity,3,14002.00000000,1.64000,14.08,2009
17,Radial Velocity,1,4.23078500,0.47200,15.36,1995
18,Radial Velocity,5,14.65100000,0.80000,12.53,1996
19,Radial Velocity,5,44.38000000,0.16500,12.53,2004
20,Radial Velocity,5,4909.00000000,3.53000,12.53,2002
21,Radial Velocity,5,0.73654000,,12.53,2011
22,Radial Velocity,5,261.20000000,0.17200,12.53,2007
23,Radial Velocity,3,4.21500000,0.01600,8.52,2009
24,Radial Velocity,3,38.02100000,0.05700,8.52,2009
25,Radial Velocity,3,123.01000000,0.07200,8.52,2009
26,Radial Velocity,1,116.68840000,,18.11,1996
27,Radial Velocity,1,691.90000000,,81.50,2012
28,Radial Velocity,1,952.70000000,5.30000,97.18,2008
29,Radial Velocity,1,181.40000000,3.20000,45.52,2013
30,Imaging,1,,,45.52,2005
31,Imaging,1,,,165.00,2007
32,Imaging,1,,,140.00,2004
33,Eclipse Timing Variations,1,10220.00000000,6.05000,,2009
34,Imaging,1,,,,2008
35,Imaging,1,,,145.00,2013
36,Imaging,1,,,139.00,2004
37,Imaging,1,,,18.39,2006
38,Eclipse Timing Variations,2,5767.00000000,,130.72,2008
39,Eclipse Timing Variations,2,3321.00000000,,130.72,2008
40,Eclipse Timing Variations,2,5573.55000000,,500.00,2010
41,Eclipse Timing Variations,2,2883.50000000,,500.00,2010
42,Eclipse Timing Variations,1,2900.00000000,,,2011
43,Eclipse Timing Variations,1,4343.50000000,4.20000,,2012
44,Eclipse Timing Variations,2,5840.00000000,,,2011
