Month,Day,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,1,,,14.2,14.256,,14.253,,,14.036,,,14.261,14.319,13.634,14.069,14.035,14.095,14.145,13.804,13.657,14.025,13.823,13.442,13.479,13.59,13.647,13.502,13.16,13.16,13.11,13.206,13.189,13.205,12.896,13.353,12.959,13.011,13.073,12.721,12.643,12.484,12.934,13.046,12.711,13.302
,2,,14.997,,,14.479,,14.103,14.045,,14.305,,14.313,14.384,13.831,14.092,14.141,14.11,14.258,13.818,13.801,14.097,13.886,13.539,13.385,13.628,13.698,13.538,13.163,13.21,13.207,13.164,13.18,13.232,12.915,13.421,12.961,13.103,13.125,12.806,12.644,12.6,12.992,13.072,12.71,13.438
,3,,,14.302,14.456,,14.306,,,14.292,,,14.402,14.283,13.847,14.141,14.25,14.042,14.335,13.786,13.837,14.262,13.884,13.63,13.418,13.598,13.876,13.502,13.293,13.267,13.182,13.19,13.267,13.254,12.926,13.379,13.012,13.116,13.112,12.79,12.713,12.634,12.98,13.17,12.799,13.411
,4,,14.922,,,14.642,,14.237,14.24,,14.417,,14.417,14.321,13.858,14.072,14.255,14.168,14.288,13.791,13.864,14.277,13.913,13.657,13.51,13.623,13.925,13.59,13.313,13.307,13.252,13.275,13.286,13.236,13.051,13.414,13.045,13.219,13.051,12.829,12.954,12.724,13.045,13.193,12.834,13.436
,5,,,14.414,14.435,,14.494,,,14.489,,,14.381,14.303,13.872,14.185,14.266,14.231,14.304,13.839,14.016,14.217,13.89,13.678,13.566,13.683,14.036,13.617,13.383,13.314,13.361,13.303,13.352,13.337,13.176,13.417,13.065,13.148,13.115,12.874,12.956,12.834,13.147,13.166,12.862,13.477
,6,,14.929,,,14.88,,14.262,14.406,,14.515,,14.359,14.407,13.958,14.254,14.22,14.295,14.325,13.877,14.139,14.263,14.044,13.806,13.722,13.645,14.075,13.594,13.324,13.265,13.403,13.325,13.447,13.458,13.169,13.404,13.126,13.142,13.138,13.039,12.839,12.772,13.316,13.195,12.917,13.537
,7,,,14.518,14.689,,14.467,,,14.533,,,14.42,14.497,13.976,14.282,14.348,14.381,14.364,14.007,14.188,14.304,14.089,13.761,13.846,13.875,14.092,13.631,13.452,13.301,13.51,13.411,13.478,13.499,13.173,13.477,13.202,13.243,13.18,13.079,12.881,12.75,13.282,13.202,13.024,13.52
,8,,14.968,,,14.993,,14.303,14.432,,14.688,,14.548,14.54,13.985,14.406,14.434,14.322,14.344,13.976,14.321,14.321,14.239,13.892,13.882,13.846,14.12,13.749,13.404,13.292,13.459,13.433,13.586,13.536,13.184,13.544,13.194,13.161,13.231,13.101,12.87,12.74,13.236,13.295,13.039,13.69
,9,,,14.594,14.619,,14.615,,,14.628,,,14.701,14.623,14.071,14.419,14.493,14.397,14.31,13.941,14.258,14.46,14.312,13.797,14.028,13.91,14.094,13.794,13.431,13.336,13.435,13.532,13.646,13.584,13.153,13.64,13.287,13.236,13.292,13.186,12.847,12.874,13.458,13.248,13.078,13.68
,10,,15.19,,,15.052,,14.387,14.455,,14.692,,14.755,14.663,14.141,14.481,14.507,14.476,14.263,13.915,14.238,14.465,14.24,13.938,14.063,13.925,14.126,13.842,13.503,13.431,13.217,13.586,13.73,13.603,13.177,13.691,13.404,13.398,13.254,13.387,12.896,12.87,13.383,13.216,13.179,13.68
,11,,,14.665,14.69,,14.648,,,14.795,,,14.819,14.66,14.205,14.509,14.523,14.515,14.336,13.95,14.257,14.467,14.265,14.139,14.088,13.885,14.219,13.917,13.55,13.491,13.227,13.744,13.777,13.695,13.212,13.749,13.474,13.475,13.363,13.493,12.994,12.892,13.389,13.317,13.218,13.749
,12,,15.327,,,15.141,,14.37,14.584,,14.771,,14.886,14.716,14.212,14.51,14.593,14.58,14.479,13.951,14.323,14.483,14.332,14.041,14.133,13.98,14.278,13.991,13.516,13.535,13.29,13.678,13.79,13.672,13.221,13.879,13.559,13.52,13.432,13.41,12.91,12.887,13.324,13.393,13.356,13.753
,13,,,14.771,14.649,,14.622,,,14.901,,14.826,14.921,14.685,14.348,14.543,14.623,14.595,14.518,14.095,14.417,14.568,14.347,13.97,14.055,14.163,14.285,14.075,13.656,13.424,13.367,13.747,13.857,13.728,13.331,13.883,13.609,13.456,13.504,13.57,12.874,13.013,13.339,13.438,13.361,13.788
,14,,15.352,,,15.138,,14.388,14.568,,14.732,14.854,14.997,14.74,14.346,14.631,14.765,14.617,14.619,14.025,14.336,14.672,14.407,13.908,14.095,14.236,14.395,14.148,13.62,13.44,13.444,13.78,14.008,13.76,13.403,13.84,13.625,13.514,13.573,13.499,12.851,13.059,13.462,13.546,13.426,13.797
,15,,,14.831,14.748,,14.916,,,14.991,,14.973,15.011,14.728,14.389,14.56,14.899,14.685,14.56,14.037,14.334,14.709,14.473,13.981,14.088,14.222,14.424,14.056,13.604,13.474,13.523,13.822,14.115,13.846,13.489,13.703,13.733,13.574,13.661,13.512,12.883,13.107,13.537,13.58,13.523,13.837
,16,,15.5,,,15.22,,14.411,14.71,,14.797,14.987,14.956,14.671,14.404,14.52,14.985,14.757,14.588,14.15,14.347,14.688,14.434,14.109,14.191,14.313,14.518,14.203,13.74,13.451,13.67,13.849,14.123,13.82,13.509,13.624,13.823,13.631,13.782,13.545,13.033,13.151,13.575,13.569,13.65,13.905
,17,,,14.957,14.998,,15.014,,,14.981,,15,15.012,14.741,14.468,14.614,15.109,14.807,14.69,14.22,14.42,14.732,14.402,14.211,14.249,14.366,14.584,14.077,13.809,13.445,13.712,13.865,14.094,13.812,13.482,13.599,13.912,13.715,13.765,13.58,13.058,13.147,13.633,13.697,13.821,13.93
,18,,15.517,,,15.227,,14.302,14.88,,14.943,15.051,15.08,14.899,14.458,14.658,15.138,14.895,14.668,14.237,14.565,14.801,14.388,14.315,14.318,14.372,14.638,14.139,13.711,13.307,13.776,13.922,14.162,13.826,13.506,13.655,13.88,13.727,13.778,13.644,13.119,13.166,13.639,13.762,13.775,14.059
,19,,,15.12,15.066,,15.052,,,15.159,,15.047,15.166,14.959,14.561,14.745,15.154,14.865,14.737,14.318,14.592,14.81,14.459,14.344,14.424,14.429,14.684,14.203,13.705,13.431,13.89,13.997,14.268,13.881,13.637,13.673,13.971,13.778,13.856,13.63,13.267,13.177,13.686,13.795,13.736,14.053
