,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
3803086,2,2019-03-15 16:56:30,2019-03-15 17:07:17,1,1.09,1,N,161,186,1,8.0,1.0,0.5,1.0,0.0,0.3,13.3,2.5
7344524,1,2019-03-29 22:01:48,2019-03-29 22:09:41,2,1.5,1,N,163,239,1,8.0,3.0,0.5,1.5,0.0,0.3,13.3,2.5
5395026,2,2019-03-21 23:10:59,2019-03-21 23:30:49,1,5.84,1,N,144,145,1,19.5,0.5,0.5,4.66,0.0,0.3,27.96,2.5
6890284,2,2019-03-28 09:48:04,2019-03-28 09:56:08,1,0.53,1,N,161,163,1,6.5,0.0,0.5,1.96,0.0,0.3,11.76,2.5
170008,1,2019-03-01 17:58:54,2019-03-01 18:13:13,1,2.3,1,N,43,48,1,11.5,3.5,0.5,0.01,0.0,0.3,15.81,2.5
7546940,1,2019-03-30 19:19:12,2019-03-30 19:22:51,1,0.4,1,N,163,142,1,4.5,2.5,0.5,1.55,0.0,0.3,9.35,2.5
7824746,2,2019-03-31 22:31:06,2019-03-31 22:33:40,1,0.69,1,N,238,239,2,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
5841675,2,2019-03-23 17:44:27,2019-03-23 17:53:11,1,1.42,1,N,164,229,2,8.0,0.0,0.5,0.0,0.0,0.3,11.3,2.5
7141765,2,2019-03-29 08:51:57,2019-03-29 09:20:58,2,4.95,1,N,163,231,2,21.0,0.0,0.5,0.0,0.0,0.3,24.3,2.5
1276502,2,2019-03-06 08:24:37,2019-03-06 08:33:12,1,0.85,1,N,87,87,1,7.0,0.0,0.5,2.06,0.0,0.3,12.36,2.5
109430,1,2019-03-01 13:55:18,2019-03-01 14:04:21,1,1.2,1,N,162,141,1,7.5,2.5,0.5,1.5,0.0,0.3,12.3,2.5
2889840,2,2019-03-12 10:24:57,2019-03-12 10:50:41,1,3.38,1,N,140,237,1,17.5,0.0,0.5,4.16,0.0,0.3,24.96,2.5
6283560,1,2019-03-25 18:50:42,2019-03-25 19:11:30,1,10.6,1,N,138,162,1,30.5,3.5,0.5,8.11,5.76,0.3,48.67,2.5
4510435,2,2019-03-18 13:08:04,2019-03-18 13:15:27,1,0.84,1,N,237,140,2,6.5,0.0,0.5,0.0,0.0,0.3,9.8,2.5
2025701,1,2019-03-08 19:29:00,2019-03-08 19:34:16,1,0.5,1,N,125,114,1,5.0,3.5,0.5,2.3,0.0,0.3,11.6,2.5
1014960,1,2019-03-05 09:46:58,2019-03-05 10:03:03,1,1.3,1,N,114,234,1,11.0,2.5,0.5,2.85,0.0,0.3,17.15,2.5
5833353,1,2019-03-23 17:44:23,2019-03-23 17:51:57,1,0.9,1,N,48,68,2,6.5,2.5,0.5,0.0,0.0,0.3,9.8,2.5
3920989,1,2019-03-15 23:31:43,2019-03-15 23:38:25,1,1.5,1,N,50,90,1,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
2472366,2,2019-03-10 13:42:29,2019-03-10 14:10:22,1,5.29,1,N,236,211,1,21.0,0.0,0.5,4.86,0.0,0.3,29.16,2.5
6612839,1,2019-03-27 07:27:45,2019-03-27 07:59:14,2,3.0,1,N,233,90,1,20.0,2.5,0.5,1.2,0.0,0.3,24.5,2.5
6409385,1,2019-03-26 10:09:50,2019-03-26 10:27:29,1,2.3,1,N,239,237,1,13.0,2.5,0.5,4.0,0.0,0.3,20.3,2.5
5892852,2,2019-03-23 21:20:01,2019-03-23 22:00:03,1,17.59,2,N,132,48,2,52.0,0.0,0.5,0.0,5.76,0.3,61.06,2.5
687142,2,2019-03-03 17:29:57,2019-03-03 17:48:02,1,1.93,1,N,230,68,1,12.5,0.0,0.5,2.0,0.0,0.3,17.8,2.5
1647263,2,2019-03-07 14:06:55,2019-03-07 14:17:04,1,2.15,1,N,211,246,1,9.5,0.0,0.5,2.56,0.0,0.3,15.36,2.5
4041840,1,2019-03-16 14:13:21,2019-03-16 14:36:00,2,3.8,1,N,164,13,1,17.0,2.5,0.5,4.05,0.0,0.3,24.35,2.5
7598162,1,2019-03-30 23:25:41,2019-03-30 23:32:16,1,1.1,1,N,230,162,2,6.5,3.0,0.5,0.0,0.0,0.3,10.3,2.5
2949178,1,2019-03-12 14:27:19,2019-03-12 14:56:35,2,9.1,1,N,163,138,2,29.0,2.5,0.5,0.0,0.0,0.3,32.3,2.5
2758592,2,2019-03-11 18:14:18,2019-03-11 19:33:16,1,14.82,1,N,249,181,1,56.5,1.0,0.5,15.2,0.0,0.3,76.0,2.5
4693606,2,2019-03-19 09:25:06,2019-03-19 10:00:07,5,5.43,1,N,261,163,1,24.5,0.0,0.5,5.56,0.0,0.3,33.36,2.5
4325602,2,2019-03-17 15:16:06,2019-03-17 15:21:11,1,0.93,1,N,263,75,2,5.5,0.0,0.5,0.0,0.0,0.3,8.8,2.5
2575970,2,2019-03-10 20:58:35,2019-03-10 21:03:37,1,0.85,1,N,142,143,2,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5
7770572,1,2019-03-31 17:33:27,2019-03-31 17:39:07,0,0.9,1,N,68,48,2,6.0,2.5,0.5,0.0,0.0,0.3,9.3,2.5
4110492,2,2019-03-16 18:10:32,2019-03-16 18:27:42,2,1.8,1,N,143,48,1,11.5,0.0,0.5,3.7,0.0,0.3,18.5,2.5
3845939,2,2019-03-15 19:23:54,2019-03-15 19:32:53,5,1.5,1,N,151,41,2,8.0,1.0,0.5,0.0,0.0,0.3,9.8,0.0
6230227,1,2019-03-25 13:32:06,2019-03-25 14:09:47,1,12.2,1,N,162,98,1,38.0,2.5,0.5,10.3,0.0,0.3,51.6,2.5
2527587,1,2019-03-10 17:57:21,2019-03-10 18:17:20,1,3.2,1,N,68,231,1,14.0,2.5,0.5,2.0,0.0,0.3,19.3,2.5
2371028,2,2019-03-10 00:41:41,2019-03-10 00:50:05,5,0.66,1,N,170,170,1,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5
5588911,1,2019-03-22 18:36:40,2019-03-22 18:48:13,2,0.9,1,N,162,186,2,8.5,3.5,0.5,0.0,0.0,0.3,12.8,2.5
1878542,1,2019-03-08 10:02:05,2019-03-08 10:16:09,1,1.1,1,N,48,161,1,9.5,2.5,0.5,2.55,0.0,0.3,15.35,2.5
631755,2,2019-03-03 13:07:38,2019-03-03 13:15:01,1,1.27,1,N,231,113,1,7.0,0.0,0.5,1.5,0.0,0.3,11.8,2.5
6385870,2,2019-03-26 08:24:34,2019-03-26 08:41:56,1,3.13,1,N,262,233,1,13.5,0.0,0.5,3.36,0.0,0.3,22.11,2.5
2441821,2,2019-03-10 11:33:58,2019-03-10 11:38:06,1,1.21,1,N,238,43,1,6.0,0.0,0.5,1.86,0.0,0.3,11.16,2.5
5276398,2,2019-03-21 15:37:09,2019-03-21 15:49:12,1,1.05,1,N,186,107,1,8.5,0.0,0.5,2.36,0.0,0.3,14.16,2.5
2397326,2,2019-03-10 03:23:42,2019-03-10 03:28:42,3,1.25,1,N,246,48,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
5215286,2,2019-03-21 11:49:39,2019-03-21 11:56:14,1,0.64,1,N,249,125,1,6.0,0.0,0.5,1.86,0.0,0.3,11.16,2.5
3214724,2,2019-03-13 14:42:22,2019-03-13 15:46:15,1,16.93,2,N,132,170,1,52.0,0.0,0.5,12.21,5.76,0.3,73.27,2.5
1570860,2,2019-03-07 09:14:50,2019-03-07 09:23:46,1,0.98,1,N,170,161,1,7.0,0.0,0.5,2.06,0.0,0.3,12.36,2.5
455347,2,2019-03-02 18:50:02,2019-03-02 19:11:15,1,2.27,1,N,238,230,1,14.5,0.0,0.5,1.78,0.0,0.3,21.53,2.5
3994894,2,2019-03-16 10:04:43,2019-03-16 10:15:49,1,2.6,1,N,143,186,2,10.5,0.0,0.5,0.0,0.0,0.3,13.8,2.5
1204504,2,2019-03-05 21:16:29,2019-03-05 21:28:39,1,2.87,1,N,234,141,2,11.5,0.5,0.5,0.0,0.0,0.3,15.3,2.5
2464463,1,2019-03-10 12:40:46,2019-03-10 12:47:28,1,0.9,1,N,239,142,2,6.5,2.5,0.5,0.0,0.0,0.3,9.8,2.5
6710067,1,2019-03-27 14:36:19,2019-03-27 14:57:47,1,4.1,1,N,234,87,1,17.0,2.5,0.5,2.0,0.0,0.3,22.3,2.5
3638346,2,2019-03-14 23:56:54,2019-03-15 00:07:18,1,2.11,1,N,79,211,1,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
7288459,1,2019-03-29 19:28:07,2019-03-29 19:34:32,2,1.3,1,N,233,162,1,6.5,3.5,0.5,1.62,0.0,0.3,12.42,2.5
6638881,1,2019-03-27 09:57:29,2019-03-27 10:26:09,1,0.9,1,N,100,68,1,16.5,2.5,0.5,4.95,0.0,0.3,24.75,2.5
6082058,1,2019-03-24 17:16:59,2019-03-24 17:30:22,3,2.0,1,N,90,162,2,10.5,2.5,0.5,0.0,0.0,0.3,13.8,2.5
1877415,1,2019-03-08 10:47:44,2019-03-08 10:49:50,1,0.0,1,N,264,193,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3,0.0
2742680,1,2019-03-11 17:51:13,2019-03-11 18:00:22,1,1.4,1,N,113,164,2,8.0,3.5,0.5,0.0,0.0,0.3,12.3,2.5
5992858,1,2019-03-24 09:08:55,2019-03-24 09:11:14,1,0.5,1,N,238,239,2,4.0,2.5,0.5,0.0,0.0,0.3,7.3,2.5
2269311,1,2019-03-09 18:53:55,2019-03-09 19:13:32,1,1.7,1,N,125,79,1,12.5,2.5,0.5,3.15,0.0,0.3,18.95,2.5
1599813,2,2019-03-07 11:57:34,2019-03-07 12:05:26,1,0.86,1,N,230,43,1,6.5,0.0,0.5,0.98,0.0,0.3,10.78,2.5
6162735,1,2019-03-25 07:49:34,2019-03-25 07:57:52,1,0.9,1,N,136,127,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,0.0
4035552,1,2019-03-16 13:44:39,2019-03-16 13:59:26,1,0.7,1,N,48,170,2,9.5,2.5,0.5,0.0,0.0,0.3,12.8,2.5
519916,2,2019-03-02 23:21:53,2019-03-02 23:38:18,1,5.41,1,N,263,148,1,18.5,0.5,0.5,4.46,0.0,0.3,26.76,2.5
6630509,2,2019-03-27 08:35:28,2019-03-27 08:46:54,1,1.07,1,N,68,48,1,8.5,0.0,0.5,1.0,0.0,0.3,12.8,2.5
1926190,2,2019-03-08 13:03:46,2019-03-08 13:12:43,1,0.82,1,N,234,170,1,7.5,0.0,0.5,1.08,0.0,0.3,11.88,2.5
1130037,1,2019-03-05 17:56:27,2019-03-05 18:19:17,3,2.7,1,N,236,161,1,16.0,3.5,0.5,5.05,0.0,0.3,25.35,2.5
5360616,1,2019-03-21 21:00:23,2019-03-21 21:05:41,1,1.0,1,N,142,239,1,6.0,3.0,0.5,0.98,0.0,0.3,10.78,2.5
