Date,Extent
1980-01-01,14.2
1980-01-03,14.302
1980-01-05,14.414
1980-01-07,14.518
1980-01-09,14.594
1980-01-11,14.665
1980-01-13,14.771
1980-01-15,14.831
1980-01-17,14.957
1980-01-19,15.12
1980-01-21,15.141
1980-01-23,15.195
1980-01-25,15.209
1980-01-27,15.124
1980-01-29,15.258
1980-01-31,15.491
1980-02-02,15.401
1980-02-04,15.639
1980-02-06,15.76
1980-02-08,15.888
1980-02-10,15.895
1980-02-12,15.97
1980-02-14,16.017
1980-02-16,16.095
1980-02-18,16.095
1980-02-20,16.17
1980-02-22,16.066
1980-02-24,16.087
1980-02-26,16.069
1980-02-28,16.22
1980-03-01,16.157
1980-03-03,16.248
1980-03-05,16.302
1980-03-07,16.289
1980-03-09,16.168
1980-03-11,16.04
1980-03-13,15.966
1980-03-15,15.994
1980-03-17,15.988
1980-03-19,16.005
1980-03-21,15.946
1980-03-23,15.945
1980-03-25,15.923
1980-03-27,15.986
1980-03-29,15.891
1980-03-31,15.813
1980-04-02,15.681
1980-04-04,15.664
1980-04-06,15.707
1980-04-08,15.653
1980-04-10,15.644
1980-04-12,15.652
1980-04-14,15.523
1980-04-16,15.509
1980-04-18,15.39
1980-04-20,15.376
1980-04-22,15.406
1980-04-24,15.259
1980-04-26,15.117
1980-04-28,14.996
1980-04-30,14.859
1980-05-02,14.718
1980-05-04,14.549
1980-05-06,14.412
1980-05-08,14.32
1980-05-10,14.186
1980-05-12,14.011
1980-05-14,13.843
1980-05-16,13.757
1980-05-18,13.672
1980-05-20,13.531
1980-05-22,13.405
1980-05-24,13.34
1980-05-26,13.206
1980-05-28,13.023
1980-05-30,12.916
1980-06-01,12.766
1980-06-03,12.706
1980-06-05,12.614
1980-06-07,12.61
1980-06-09,12.586
1980-06-11,12.468
1980-06-13,12.278
1980-06-15,12.269
1980-06-17,12.13
1980-06-19,12.043
1980-06-21,12.007
1980-06-23,11.842
1980-06-25,11.699
1980-06-27,11.585
1980-06-29,11.466
1980-07-01,11.283
1980-07-03,11.075
1980-07-05,10.983
1980-07-07,10.852
1980-07-09,10.7
1980-07-11,10.575
1980-07-13,10.307
1980-07-15,10.203
1980-07-17,9.946
1980-07-19,9.847
1980-07-21,9.779
1980-07-23,9.594
1980-07-25,9.358
1980-07-27,9.166
1980-07-29,9.065
1980-07-31,8.868
1980-08-02,8.76
1980-08-04,8.611
1980-08-06,8.548
1980-08-08,8.348
1980-08-10,8.202
1980-08-12,8.041
1980-08-14,7.82
1980-08-16,7.765
1980-08-18,7.761
1980-08-20,7.717
1980-08-22,7.758
1980-08-24,7.578
1980-08-26,7.667
1980-08-28,7.588
1980-08-30,7.6
1980-09-01,7.544
1980-09-03,7.555
1980-09-05,7.533
1980-09-07,7.574
1980-09-09,7.56
1980-09-11,7.557
1980-09-13,7.543
1980-09-15,7.602
1980-09-17,7.58
1980-09-19,7.651
1980-09-21,7.686
1980-09-23,7.782
1980-09-25,7.854
1980-09-27,7.966
1980-09-29,8.019
1980-10-01,8.223
1980-10-03,8.213
1980-10-05,8.485
1980-10-07,8.532
1980-10-09,8.809
1980-10-11,8.975
1980-10-13,9.161
1980-10-15,9.218
1980-10-17,9.272
1980-10-19,9.389
1980-10-21,9.468
1980-10-23,9.586
1980-10-25,9.643
1980-10-27,9.841
1980-10-29,9.911
1980-10-31,10.198
1980-11-02,10.42
1980-11-04,10.523
1980-11-06,10.652
1980-11-08,10.789
1980-11-10,10.88
1980-11-12,10.976
1980-11-14,11.087
1980-11-16,11.217
1980-11-18,11.337
1980-11-20,11.628
1980-11-22,11.78
1980-11-24,12.096
1980-11-26,12.256
1980-11-28,12.476
1980-11-30,12.626
1980-12-02,12.643
1980-12-04,13.032
1980-12-06,13.122
1980-12-08,13.298
1980-12-10,13.334
1980-12-12,13.569
1980-12-14,13.685
1980-12-16,13.91
1980-12-18,13.762
1980-12-20,13.697
1980-12-22,13.779
1980-12-24,13.798
1980-12-26,14.0
1980-12-28,14.172
1980-12-30,14.093
1981-01-01,14.256
1981-01-03,14.456
1981-01-05,14.435
1981-01-07,14.689
1981-01-09,14.619
1981-01-11,14.69
1981-01-13,14.649
1981-01-15,14.748
1981-01-17,14.998
1981-01-19,15.066
1981-01-21,15.055
1981-01-23,15.17
1981-01-25,15.244
1981-01-27,15.35
1981-01-29,15.503
1981-01-31,15.627
1981-02-02,15.646
1981-02-04,15.663
1981-02-06,15.629
1981-02-08,15.541
1981-02-10,15.44
1981-02-12,15.474
1981-02-14,15.482
1981-02-16,15.575
1981-02-18,15.592
1981-02-20,15.731
1981-02-22,15.654
1981-02-24,15.706
1981-02-26,15.667
1981-02-28,15.657
1981-03-02,15.628
1981-03-04,15.726
1981-03-06,15.646
1981-03-08,15.644
1981-03-10,15.733
1981-03-12,15.657
1981-03-14,15.801
1981-03-16,15.771
1981-03-18,15.528
1981-03-20,15.621
1981-03-22,15.535
1981-03-24,15.559
1981-03-26,15.626
1981-03-28,15.517
1981-03-30,15.481
1981-04-01,15.44
1981-04-03,15.221
1981-04-05,15.224
1981-04-07,15.242
1981-04-09,15.202
1981-04-11,15.135
1981-04-13,15.11
1981-04-15,15.086
1981-04-17,14.983
1981-04-19,14.95
1981-04-21,14.92
1981-04-23,14.844
1981-04-25,14.714
1981-04-27,14.564
1981-04-29,14.514
1981-05-01,14.272
1981-05-03,14.285
1981-05-05,14.249
1981-05-07,14.077
1981-05-09,14.083
1981-05-11,14.072
1981-05-13,14.025
1981-05-15,13.928
1981-05-17,13.843
1981-05-19,13.752
1981-05-21,13.568
1981-05-23,13.464
1981-05-25,13.378
1981-05-27,13.333
1981-05-29,13.275
1981-05-31,13.222
1981-06-02,13.059
1981-06-04,13.002
1981-06-06,12.954
1981-06-08,12.863
1981-06-10,12.721
1981-06-12,12.652
1981-06-14,12.487
1981-06-16,12.465
1981-06-18,12.364
1981-06-20,12.216
1981-06-22,12.064
