Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Month,Brand
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,2019,Medium,Tier 1,Supermarket OUT-Pune,3735.138,M1_January,Amul
DRC01,5.92,Regular,0.019278216,Dairy,48.2692,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,443.4228,M1_January,Amul
FDN15,17.5,Low Fat,0.016760075,Dairy,141.618,OUT049,2019,Medium,Tier 1,Supermarket OUT-Pune,2097.27,M1_January,Amul
FDX07,19.2,Regular,0,Dairy,182.095,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,732.38,M1_January,Amul
NCD19,8.93,Low Fat,0,Dairy,53.8614,OUT013,2019,High,Tier 3,Supermarket OUT-Solapur,994.7052,M1_January,Amul
FDP36,10.395,Regular,0,Dairy,51.4008,OUT018,2019,Medium,Tier 3,Supermarket OUT-Solapur,556.6088,M1_January,Amul
FDO10,13.65,Regular,0.012741089,Dairy,57.6588,OUT013,2019,High,Tier 3,Supermarket OUT-Solapur,343.5528,M1_January,Amul
FDP10,,Low Fat,0.127469857,Dairy,107.7622,OUT027,2019,Medium,Tier 3,Supermarket OUT-Solapur,4022.7636,M1_January,Amul
FDH17,16.2,Regular,0.016687114,Dairy,96.9726,OUT045,2019,,Tier 2,Supermarket OUT-Solapur,1076.5986,M1_January,Amul
FDU28,19.2,Regular,0.09444959,Dairy,187.8214,OUT017,2019,,Tier 2,Supermarket OUT-Solapur,4710.535,M1_January,Amul
FDY07,11.8,Low Fat,0,Dairy,45.5402,OUT049,2019,Medium,Tier 1,Supermarket OUT-Solapur,1516.0266,M1_January,Amul
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,2187.153,M1_January,Amul
FDX32,15.1,Regular,0.1000135,Dairy,145.4786,OUT049,2019,Medium,Tier 1,Supermarket OUT-Solapur,1589.2646,M1_January,Amul
FDS46,17.6,Regular,0.047257328,Dairy,119.6782,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,2145.2076,M1_January,Amul
FDF32,16.35,Low Fat,0.0680243,Dairy,196.4426,OUT013,2019,High,Tier 3,Supermarket OUT-Solapur,1977.426,M1_January,Amul
FDP49,9,Regular,0.069088961,Dairy,56.3614,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,1547.3192,M1_January,Amul
NCB42,11.8,Low Fat,0.008596051,Dairy,115.3492,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,1621.8888,M1_January,Amul
FDP49,9,Regular,0.069196376,Dairy,54.3614,OUT049,2019,Medium,Tier 1,Supermarket OUT-Pune,718.3982,M1_January,Amul
