pickup,dropoff,passengers,distance,fare,tip,tolls,total,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-15 16:56:30,2019-03-15 17:07:17,1,1.09,8.0,1.0,0.0,13.3,credit card,Midtown Center,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-29 22:01:48,2019-03-29 22:09:41,2,1.5,8.0,1.5,0.0,13.3,credit card,Midtown North,Upper West Side South,Manhattan,Manhattan
2019-03-21 23:10:59,2019-03-21 23:30:49,1,5.84,19.5,4.66,0.0,27.96,credit card,Little Italy/NoLiTa,Long Island City/Hunters Point,Manhattan,Queens
2019-03-28 09:48:04,2019-03-28 09:56:08,1,0.53,6.5,1.96,0.0,11.76,credit card,Midtown Center,Midtown North,Manhattan,Manhattan
2019-03-01 17:58:54,2019-03-01 18:13:13,1,2.3,11.5,0.01,0.0,15.81,credit card,Central Park,Clinton East,Manhattan,Manhattan
2019-03-30 19:19:12,2019-03-30 19:22:51,1,0.4,4.5,1.55,0.0,9.35,credit card,Midtown North,Lincoln Square East,Manhattan,Manhattan
2019-03-31 22:31:06,2019-03-31 22:33:40,1,0.69,4.5,0.0,0.0,8.3,cash,Upper West Side North,Upper West Side South,Manhattan,Manhattan
2019-03-23 17:44:27,2019-03-23 17:53:11,1,1.42,8.0,0.0,0.0,11.3,cash,Midtown South,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-29 08:51:57,2019-03-29 09:20:58,2,4.95,21.0,0.0,0.0,24.3,cash,Midtown North,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-06 08:24:37,2019-03-06 08:33:12,1,0.85,7.0,2.06,0.0,12.36,credit card,Financial District North,Financial District North,Manhattan,Manhattan
2019-03-01 13:55:18,2019-03-01 14:04:21,1,1.2,7.5,1.5,0.0,12.3,credit card,Midtown East,Lenox Hill West,Manhattan,Manhattan
2019-03-12 10:24:57,2019-03-12 10:50:41,1,3.38,17.5,4.16,0.0,24.96,credit card,Lenox Hill East,Upper East Side South,Manhattan,Manhattan
2019-03-25 18:50:42,2019-03-25 19:11:30,1,10.6,30.5,8.11,5.76,48.67,credit card,LaGuardia Airport,Midtown East,Queens,Manhattan
2019-03-18 13:08:04,2019-03-18 13:15:27,1,0.84,6.5,0.0,0.0,9.8,cash,Upper East Side South,Lenox Hill East,Manhattan,Manhattan
2019-03-08 19:29:00,2019-03-08 19:34:16,1,0.5,5.0,2.3,0.0,11.6,credit card,Hudson Sq,Greenwich Village South,Manhattan,Manhattan
2019-03-05 09:46:58,2019-03-05 10:03:03,1,1.3,11.0,2.85,0.0,17.15,credit card,Greenwich Village South,Union Sq,Manhattan,Manhattan
2019-03-23 17:44:23,2019-03-23 17:51:57,1,0.9,6.5,0.0,0.0,9.8,cash,Clinton East,East Chelsea,Manhattan,Manhattan
2019-03-15 23:31:43,2019-03-15 23:38:25,1,1.5,7.0,2.15,0.0,12.95,credit card,Clinton West,Flatiron,Manhattan,Manhattan
2019-03-10 13:42:29,2019-03-10 14:10:22,1,5.29,21.0,4.86,0.0,29.16,credit card,Upper East Side North,SoHo,Manhattan,Manhattan
2019-03-27 07:27:45,2019-03-27 07:59:14,2,3.0,20.0,1.2,0.0,24.5,credit card,UN/Turtle Bay South,Flatiron,Manhattan,Manhattan
2019-03-26 10:09:50,2019-03-26 10:27:29,1,2.3,13.0,4.0,0.0,20.3,credit card,Upper West Side South,Upper East Side South,Manhattan,Manhattan
2019-03-23 21:20:01,2019-03-23 22:00:03,1,17.59,52.0,0.0,5.76,61.06,cash,JFK Airport,Clinton East,Queens,Manhattan
2019-03-03 17:29:57,2019-03-03 17:48:02,1,1.93,12.5,2.0,0.0,17.8,credit card,Times Sq/Theatre District,East Chelsea,Manhattan,Manhattan
2019-03-07 14:06:55,2019-03-07 14:17:04,1,2.15,9.5,2.56,0.0,15.36,credit card,SoHo,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-16 14:13:21,2019-03-16 14:36:00,2,3.8,17.0,4.05,0.0,24.35,credit card,Midtown South,Battery Park City,Manhattan,Manhattan
2019-03-30 23:25:41,2019-03-30 23:32:16,1,1.1,6.5,0.0,0.0,10.3,cash,Times Sq/Theatre District,Midtown East,Manhattan,Manhattan
2019-03-12 14:27:19,2019-03-12 14:56:35,2,9.1,29.0,0.0,0.0,32.3,cash,Midtown North,LaGuardia Airport,Manhattan,Queens
2019-03-11 18:14:18,2019-03-11 19:33:16,1,14.82,56.5,15.2,0.0,76.0,credit card,West Village,Park Slope,Manhattan,Brooklyn
2019-03-19 09:25:06,2019-03-19 10:00:07,5,5.43,24.5,5.56,0.0,33.36,credit card,World Trade Center,Midtown North,Manhattan,Manhattan
2019-03-17 15:16:06,2019-03-17 15:21:11,1,0.93,5.5,0.0,0.0,8.8,cash,Yorkville West,East Harlem South,Manhattan,Manhattan
2019-03-10 20:58:35,2019-03-10 21:03:37,1,0.85,5.5,0.0,0.0,9.3,cash,Lincoln Square East,Lincoln Square West,Manhattan,Manhattan
2019-03-31 17:33:27,2019-03-31 17:39:07,0,0.9,6.0,0.0,0.0,9.3,cash,East Chelsea,Clinton East,Manhattan,Manhattan
2019-03-16 18:10:32,2019-03-16 18:27:42,2,1.8,11.5,3.7,0.0,18.5,credit card,Lincoln Square West,Clinton East,Manhattan,Manhattan
2019-03-15 19:23:54,2019-03-15 19:32:53,5,1.5,8.0,0.0,0.0,9.8,cash,Manhattan Valley,Central Harlem,Manhattan,Manhattan
2019-03-25 13:32:06,2019-03-25 14:09:47,1,12.2,38.0,10.3,0.0,51.6,credit card,Midtown East,Fresh Meadows,Manhattan,Queens
2019-03-10 17:57:21,2019-03-10 18:17:20,1,3.2,14.0,2.0,0.0,19.3,credit card,East Chelsea,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-10 00:41:41,2019-03-10 00:50:05,5,0.66,6.5,2.58,0.0,12.88,credit card,Murray Hill,Murray Hill,Manhattan,Manhattan
2019-03-22 18:36:40,2019-03-22 18:48:13,2,0.9,8.5,0.0,0.0,12.8,cash,Midtown East,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-08 10:02:05,2019-03-08 10:16:09,1,1.1,9.5,2.55,0.0,15.35,credit card,Clinton East,Midtown Center,Manhattan,Manhattan
2019-03-03 13:07:38,2019-03-03 13:15:01,1,1.27,7.0,1.5,0.0,11.8,credit card,TriBeCa/Civic Center,Greenwich Village North,Manhattan,Manhattan
2019-03-26 08:24:34,2019-03-26 08:41:56,1,3.13,13.5,3.36,0.0,22.11,credit card,Yorkville East,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-10 11:33:58,2019-03-10 11:38:06,1,1.21,6.0,1.86,0.0,11.16,credit card,Upper West Side North,Central Park,Manhattan,Manhattan
2019-03-21 15:37:09,2019-03-21 15:49:12,1,1.05,8.5,2.36,0.0,14.16,credit card,Penn Station/Madison Sq West,Gramercy,Manhattan,Manhattan
2019-03-10 03:23:42,2019-03-10 03:28:42,3,1.25,6.5,2.06,0.0,12.36,credit card,West Chelsea/Hudson Yards,Clinton East,Manhattan,Manhattan
2019-03-21 11:49:39,2019-03-21 11:56:14,1,0.64,6.0,1.86,0.0,11.16,credit card,West Village,Hudson Sq,Manhattan,Manhattan
2019-03-13 14:42:22,2019-03-13 15:46:15,1,16.93,52.0,12.21,5.76,73.27,credit card,JFK Airport,Murray Hill,Queens,Manhattan
2019-03-07 09:14:50,2019-03-07 09:23:46,1,0.98,7.0,2.06,0.0,12.36,credit card,Murray Hill,Midtown Center,Manhattan,Manhattan
2019-03-02 18:50:02,2019-03-02 19:11:15,1,2.27,14.5,1.78,0.0,21.53,credit card,Upper West Side North,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-16 10:04:43,2019-03-16 10:15:49,1,2.6,10.5,0.0,0.0,13.8,cash,Lincoln Square West,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-05 21:16:29,2019-03-05 21:28:39,1,2.87,11.5,0.0,0.0,15.3,cash,Union Sq,Lenox Hill West,Manhattan,Manhattan
2019-03-10 12:40:46,2019-03-10 12:47:28,1,0.9,6.5,0.0,0.0,9.8,cash,Upper West Side South,Lincoln Square East,Manhattan,Manhattan
